	, www Profile.xml
APTPS_Agreement_Account_Sites__c.APTPS_Account_Sites_Id__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Account_County__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Account__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Address__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Agreement__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Channel_Type__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.City__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Country__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Create_Opportunity__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Full_Address__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Overridden_Full_Address__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Parent_Account__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.State__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Status__c,readable=false/editable=false
APTPS_Agreement_Account_Sites__c.Zip_Code__c,readable=false/editable=false
Account.AE__c,readable=false/editable=false
Account.APTPS_TOP_30__c,readable=false/editable=false
Account.AccountNumber,readable=false/editable=false
Account.AccountSource,readable=true/editable=true
Account.Account_Number__c,readable=false/editable=false
Account.Account_Type_Mismatch__c,readable=false/editable=false
Account.Account_with_multiple_EOTIndex_Parent__c,readable=false/editable=false
Account.Accounts_with_multiple_eDAoT_Indexes__c,readable=false/editable=false
Account.Address_2__c,readable=false/editable=false
Account.Address_3__c,readable=false/editable=false
Account.Address_4__c,readable=false/editable=false
Account.Address_Last_Updated_DT__c,readable=false/editable=false
Account.Address_Status__c,readable=false/editable=false
Account.Address__c,readable=false/editable=false
Account.AnnualRevenue,readable=true/editable=true
Account.Apex_Context2__c,readable=false/editable=false
Account.Apex_Context__c,readable=false/editable=false
Account.Apttus_Address_2__c,readable=false/editable=false
Account.Apttus_Address_3__c,readable=false/editable=false
Account.Apttus_Address_4__c,readable=false/editable=false
Account.Apttus_Address__c,readable=false/editable=false
Account.Apttus_City__c,readable=false/editable=false
Account.Apttus_Country__c,readable=false/editable=false
Account.Apttus_County__c,readable=false/editable=false
Account.Apttus_Postal_Code__c,readable=false/editable=false
Account.Apttus_State_Region__c,readable=false/editable=false
Account.BMCServiceDesk__Active__c,readable=false/editable=false
Account.BMCServiceDesk__Business_Hour__c,readable=false/editable=false
Account.BMCServiceDesk__CustomerPriority__c,readable=false/editable=false
Account.BMCServiceDesk__FKSelfService3_Theme__c,readable=false/editable=false
Account.BMCServiceDesk__FKSelfService_Theme__c,readable=false/editable=false
Account.BMCServiceDesk__FKUrgency__c,readable=false/editable=false
Account.BMCServiceDesk__NumberofLocations__c,readable=false/editable=false
Account.BMCServiceDesk__Remedyforce_Account__c,readable=false/editable=false
Account.BMCServiceDesk__SLAExpirationDate__c,readable=false/editable=false
Account.BMCServiceDesk__SLASerialNumber__c,readable=false/editable=false
Account.BMCServiceDesk__SLA__c,readable=false/editable=false
Account.BMCServiceDesk__ServiceProvider__c,readable=false/editable=false
Account.BMCServiceDesk__UpsellOpportunity__c,readable=false/editable=false
Account.BMCServiceDesk__Vendor__c,readable=false/editable=false
Account.BMCServiceDesk__costCenter__c,readable=false/editable=false
Account.BMCServiceDesk__inactive__c,readable=false/editable=false
Account.Bill_To__c,readable=false/editable=false
Account.BillingAddress,readable=true/editable=true
Account.BillingAddress__c,readable=false/editable=false
Account.ByPass_Lookup_Filters__c,readable=false/editable=false
Account.Case_Count__c,readable=false/editable=false
Account.Channel_Type__c,readable=false/editable=false
Account.City__c,readable=false/editable=false
Account.City_and_State__c,readable=false/editable=false
Account.Comments__c,readable=false/editable=false
