	, www Profile.xml
Account.Account,default=false/visible=false
Account.Parent_Account,default=false/visible=false
Account.Partner_Account,default=false/visible=false
Account.Partner_Parent_Account,default=false/visible=false
Account_Team__c.Account_Team_Role_Type,default=false/visible=false
Apttus__APTS_Agreement__c.CLLA,default=false/visible=false
Apttus__APTS_Agreement__c.LWR,default=false/visible=false
Apttus__APTS_Agreement__c.Legacy_Agreement_Numbers,default=false/visible=false
Apttus__APTS_Agreement__c.NDA,default=false/visible=false
BMCServiceDesk__Incident__c.BMCRF_ACD_Agent,default=false/visible=false
BMCServiceDesk__Incident__c.BMCRF_FACILTIES_CONSOLE,default=false/visible=false
BMCServiceDesk__Incident__c.BMCRF_IT_CONSOLE,default=false/visible=false
Booking_Package__c.Booking_Package,default=false/visible=false
Booking_Package__c.Prov_Request,default=false/visible=false
Case.DIP,default=false/visible=false
Case.Default,default=false/visible=false
Case.Service_Group_Case,default=false/visible=false
Case.TIP,default=false/visible=false
Case.VIP,default=false/visible=false
ContentVersion.Account_Type,default=false/visible=true
ContentVersion.Booking_Package,default=false/visible=true
ContentVersion.DSG_Marketing,default=false/visible=true
ContentVersion.IP_config,default=false/visible=true
ContentVersion.Opportunity_Content,default=false/visible=true
OM_Other__c.Chip_Estimate,default=false/visible=false
OM_Other__c.Invoice_Request,default=false/visible=false
OM_Other__c.Royalty_IP,default=false/visible=false
OM_Other__c.Royalty_VAR,default=false/visible=false
Opportunity.IP,default=false/visible=false
Opportunity.SW_HW,default=false/visible=false
Order_Checklist__c.Amend,default=false/visible=false
Order_Checklist__c.Edagold_and_Edaplat,default=false/visible=false
Order_Checklist__c.Hardware,default=false/visible=false
Order_Checklist__c.IP,default=false/visible=false
Order_Checklist__c.IP_Access,default=false/visible=false
Order_Checklist__c.TBL_UNIV_SAM_loan_with_fees,default=false/visible=false
Order_Checklist__c.Term,default=false/visible=false
Order_Checklist__c.X99_Yr_Other,default=false/visible=false
Queued_Task__c.ACR,default=false/visible=false
Queued_Task__c.AMR_EAR_APR,default=false/visible=false
Queued_Task__c.Default,default=false/visible=false
Queued_Task__c.EAR,default=false/visible=false
Queued_Task__c.SSG,default=false/visible=false
Quote.DIP_Quote,default=false/visible=false
Quote.IP_Access_Quote,default=false/visible=false
Quote.IP_Access_Selection_IP_Tensilica_Quote,default=false/visible=false
Quote.IP_Access_Selection_Quote,default=false/visible=false
Quote.IP_Board_Quote,default=false/visible=false
Quote.IP_Tensilica_Quote,default=false/visible=false
Quote.RenMaint,default=false/visible=false
Quote.X99_YR_Other_Quote,default=false/visible=false
SVMXC__Service_Order__c.Field_Service_Work_Order,default=false/visible=false
SVMXC__Service_Order__c.Service_Repair_Work_Order,default=false/visible=false
