	, www Profile.xml
AE_Ack_Upload,visibility=Hidden
AE_Acknowledgement_Flow__c,visibility=Hidden
AccountMergeObject__c,visibility=Hidden
Account_CCP__c,visibility=Hidden
Account_Team__c,visibility=Hidden
Achievement_Report,visibility=Hidden
Activities,visibility=Hidden
Add_Mass_Case,visibility=Hidden
Advanced_Support_Groups__c,visibility=Hidden
Agreement__c,visibility=Hidden
Alert_Detail__c,visibility=Hidden
Alert__c,visibility=Hidden
Approval_Hierarchy__c,visibility=Hidden
Apttus_Account_managment,visibility=Hidden
Apttus_Agreement_Assignment_Rule__c,visibility=Hidden
Apttus_LWR_assignment_Rule_condition__c,visibility=Hidden
Article_Feedback__c,visibility=Hidden
Article__c,visibility=Hidden
Attachment__c,visibility=Hidden
BMCServiceDesk__SYSDashboardWidget__c,visibility=Hidden
BMCServiceDesk__SYSQVQuery__c,visibility=Hidden
Booking_Package__c,visibility=Hidden
CCMS_Family__c,visibility=Hidden
CCMS_Need_Releases__c,visibility=Hidden
CCMS_OS_Versions__c,visibility=Hidden
CCMS_OS__c,visibility=Hidden
CCMS_ProdLevel2__c,visibility=Hidden
CCMS_Product__c,visibility=Hidden
CCP_Assignment__c,visibility=Hidden
CCR__c,visibility=Hidden
CDN_CH_Consultant__c,visibility=Hidden
CDN_CH_Schedule__c,visibility=Hidden
COSHome,visibility=Hidden
COS_Case_Group__c,visibility=Hidden
COS_Community__c,visibility=Hidden
COS_HomePage,visibility=Hidden
COS_SW_Update_Order__c,visibility=Hidden
COS_Static_Content__c,visibility=Hidden
Cadence_Documents__c,visibility=Hidden
Cadence_Entity__c,visibility=Hidden
Cadence_Online_Service_Log__c,visibility=Hidden
Cadence_Platform__c,visibility=Hidden
Cadence_Support,visibility=Hidden
Case_History__c,visibility=Hidden
Case_Subscription__c,visibility=Hidden
Company_Code__c,visibility=Hidden
Component_Report,visibility=Hidden
Contact_to_case_group_junction__c,visibility=Hidden
Content_Access_List__c,visibility=Hidden
Country_Region_Mapping,visibility=Hidden
Country__c,visibility=Hidden
Currency_Exchange_Rate__c,visibility=Hidden
Customer_Survey__c,visibility=Hidden
DataSteward_log__c,visibility=Hidden
Deal_Approval_Manager__c,visibility=Hidden
Delivering_Plant__c,visibility=Hidden
Design_Technology__c,visibility=Hidden
Distribution_Channel__c,visibility=Hidden
Division_Code__c,visibility=Hidden
Document_Like_History__c,visibility=Hidden
Document_View_History__c,visibility=Hidden
E2E_Acc_Group_Setup_Request__c,visibility=Hidden
EDA_Card__c,visibility=Hidden
ER_Agreement__c,visibility=Hidden
Emailweb__c,visibility=Hidden
Error__c,visibility=Hidden
Exception_eDAoT__c,visibility=Hidden
Expected_Close_Quarter__c,visibility=Hidden
Forecast_Hierarchy__c,visibility=Hidden
Forecast_Target__c,visibility=Hidden
Forecast__c,visibility=Hidden
GL_Upload,visibility=Hidden
GSS_Account_Management,visibility=Hidden
GSS_Approval_Flow,visibility=Hidden
GSS_Approval_Upload,visibility=Hidden
GSS_Index__c,visibility=Hidden
GSS_Split__c,visibility=Hidden
GSS_missing_Account_teams,visibility=Hidden
Goal_Letter_Report,visibility=Hidden
Goal_Letters,visibility=Hidden
IPCA_Approvers__c,visibility=Hidden
IP_Config__c,visibility=Hidden
Integration__c,visibility=Hidden
Interim_Registration__c,visibility=Hidden
Issue__c,visibility=Hidden
Language_Code__c,visibility=Hidden
License__c,visibility=Hidden
Loan__c,visibility=Hidden
Mass_reassign_opportunities,visibility=Hidden
Mfg_Release_Platforms__c,visibility=Hidden
Migration_Statistics__c,visibility=Hidden
NWR_Assignment_Structure__c,visibility=Hidden
New_Hire_Module,visibility=Hidden
OM_Other__c,visibility=Hidden
Order_Checklist__c,visibility=Hidden
Original_System__c,visibility=Hidden
Other_Party__c,visibility=Hidden
Prod_Attr_to_Feat_Jct_c__c,visibility=Hidden
Prod_Cls_to_Feat_Jct__c,visibility=Hidden
Product_Attribute__c,visibility=Hidden
Product_BU_Family__c,visibility=Hidden
Product_Class__c,visibility=Hidden
Product_Exclusion__c,visibility=Hidden
Product_Family_Product__c,visibility=Hidden
Product_Feature_Level_1__c,visibility=Hidden
Product_Feature_Version__c,visibility=Hidden
Product_Feature__c,visibility=Hidden
Product_Manual__c,visibility=Hidden
Product_Price_Type__c,visibility=Hidden
Product_Price__c,visibility=Hidden
Product_Recommendation__c,visibility=Hidden
Product_Support_Agent__c,visibility=Hidden
Product_Support_Matrix__c,visibility=Hidden
Product_Upgrade__c,visibility=Hidden
Project__c,visibility=Hidden
QueueAssignment__c,visibility=Hidden
Queued_Task__c,visibility=Hidden
Reference_Key__c,visibility=Hidden
Related_Article__c,visibility=Hidden
Release_Incubator_Approvers__c,visibility=Hidden
Release_Platform__c,visibility=Hidden
Release_Product__c,visibility=Hidden
Release__c,visibility=Hidden
Royalty__c,visibility=Hidden
SVMXC__RMA_Shipment_Line__c,visibility=Hidden
SVMXC__Service_Order_Line__c,visibility=Hidden
SalesRep__c,visibility=Hidden
Sales_Organization__c,visibility=Hidden
ServiceMax_Vendor_Account__c,visibility=Hidden
Servicemax_Finance_Report__c,visibility=Hidden
State__c,visibility=Hidden
Support_Center_Configuration__c,visibility=Hidden
Survey_Admin__c,visibility=Hidden
Survey_Question__c,visibility=Hidden
Survey_Submission_Response__c,visibility=Hidden
Survey_Submission__c,visibility=Hidden
Tasks_Events_Console,visibility=Hidden
Technical_Campaign__c,visibility=Hidden
Technical_Engagement__c,visibility=Hidden
TempUpdateObject__c,visibility=Hidden
Temp_Key_Region_OptIn__c,visibility=Hidden
Unified_Admin,visibility=Hidden
UserAvailablity,visibility=Hidden
User_Email_Address_Table__c,visibility=Hidden
Weekly_Buisness_Status__c,visibility=Hidden
standard-Account,visibility=Hidden
standard-Case,visibility=Hidden
standard-Contact,visibility=Hidden
standard-Entitlement,visibility=Hidden
standard-Opportunity,visibility=Hidden
standard-Quote,visibility=DefaultOn
