	, ServiceMax Vendor User.txt, SolutionManager.txt, Standard.txt, StandardAul.txt, Sys Admin ReadOnly.txt, System Admin ReadOnly.txt, System Administrator Custom.txt, UnifiedSSO Profile.txt, test Profile.txt, www Profile.xml
APTPS_Agreement_Account_Sites__c,allowCreate=false/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Account,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,allowCreate=true/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false
Account_CCP__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Account_Domain__c,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,allowCreate=true/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,
Account_Master__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Account_Sites__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Account_Team__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Agreement__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Apttus__APTS_Agreement__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Attachment__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
