	, ServiceMax Vendor User.txt, SolutionManager.txt, Standard.txt, StandardAul.txt, Sys Admin ReadOnly.txt, System Admin ReadOnly.txt, System Administrator Custom.txt, UnifiedSSO Profile.txt, test Profile.txt, www Profile.xml
ActivateContract,,,,,name=ActivateContract,name=ActivateContract,name=ActivateContract,,,
AllowUniversalSearch,,name=AllowUniversalSearch,name=AllowUniversalSearch,name=AllowUniversalSearch,,,,name=AllowUniversalSearch,name=AllowUniversalSearch,
AllowViewKnowledge,,name=AllowViewKnowledge,name=AllowViewKnowledge,name=AllowViewKnowledge,name=AllowViewKnowledge,name=AllowViewKnowledge,name=AllowViewKnowledge,,,
ApiEnabled,,name=ApiEnabled,name=ApiEnabled,name=ApiEnabled,name=ApiEnabled,name=ApiEnabled,name=ApiEnabled,,,
ApproveContract,,,,,name=ApproveContract,name=ApproveContract,name=ApproveContract,,,
AssignPermissionSets,,,,,name=AssignPermissionSets,name=AssignPermissionSets,name=AssignPermissionSets,,,
AssignTopics,,name=AssignTopics,name=AssignTopics,name=AssignTopics,name=AssignTopics,name=AssignTopics,name=AssignTopics,,,
AuthorApex,,,,,,,name=AuthorApex,,,
CanInsertFeedSystemFields,,,,,name=CanInsertFeedSystemFields,name=CanInsertFeedSystemFields,name=CanInsertFeedSystemFields,,,
CanUseNewDashboardBuilder,,,,,name=CanUseNewDashboardBuilder,name=CanUseNewDashboardBuilder,name=CanUseNewDashboardBuilder,,,
ChatterEditOwnPost,,name=ChatterEditOwnPost,name=ChatterEditOwnPost,name=ChatterEditOwnPost,,,,,,
ChatterFileLink,,name=ChatterFileLink,name=ChatterFileLink,name=ChatterFileLink,name=ChatterFileLink,name=ChatterFileLink,name=ChatterFileLink,,,
ChatterInternalUser,,name=ChatterInternalUser,name=ChatterInternalUser,name=ChatterInternalUser,name=ChatterInternalUser,name=ChatterInternalUser,name=ChatterInternalUser,,,
ChatterInviteExternalUsers,,name=ChatterInviteExternalUsers,name=ChatterInviteExternalUsers,name=ChatterInviteExternalUsers,name=ChatterInviteExternalUsers,name=ChatterInviteExternalUsers,name=ChatterInviteExternalUsers,,,
ChatterOwnGroups,,name=ChatterOwnGroups,name=ChatterOwnGroups,name=ChatterOwnGroups,name=ChatterOwnGroups,name=ChatterOwnGroups,name=ChatterOwnGroups,,,
ConnectOrgToEnvironmentHub,,,,,name=ConnectOrgToEnvironmentHub,name=ConnectOrgToEnvironmentHub,name=ConnectOrgToEnvironmentHub,,,
ContentAdministrator,,,,,,,name=ContentAdministrator,,,
ConvertLeads,,name=ConvertLeads,name=ConvertLeads,,name=ConvertLeads,name=ConvertLeads,name=ConvertLeads,,,
CreateAuditFields,,,,,name=CreateAuditFields,name=CreateAuditFields,name=CreateAuditFields,,,
CreateCustomizeDashboards,,,,,name=CreateCustomizeDashboards,name=CreateCustomizeDashboards,name=CreateCustomizeDashboards,,,
CreateCustomizeFilters,,name=CreateCustomizeFilters,name=CreateCustomizeFilters,name=CreateCustomizeFilters,name=CreateCustomizeFilters,name=CreateCustomizeFilters,name=CreateCustomizeFilters,,,
CreateCustomizeReports,,name=CreateCustomizeReports,name=CreateCustomizeReports,name=CreateCustomizeReports,name=CreateCustomizeReports,name=CreateCustomizeReports,name=CreateCustomizeReports,,,
CreateDashboardFolders,,,,,name=CreateDashboardFolders,name=CreateDashboardFolders,name=CreateDashboardFolders,,,
CreatePackaging,,,,,,,name=CreatePackaging,,,
CreateReportFolders,,,,,name=CreateReportFolders,name=CreateReportFolders,name=CreateReportFolders,,,
CreateTopics,,name=CreateTopics,name=CreateTopics,name=CreateTopics,name=CreateTopics,name=CreateTopics,name=CreateTopics,,,
